Player;Team;Wins;Losses;KDA;Kill;Death;Assists;LH;DN;GPM;XPM;Position;Inv_Status;Region;Shanghai_Result
ZSMJ;Team FanTuan;2;6;2.73;4;5.13;10;241.88;11.75;446;433;2;1;CN;0
iG.V.InJuly;Team FanTuan;2;6;2.33;3.38;4.88;8;202.75;2.88;392;394;3;1;CN;0
??;Team FanTuan;2;6;1.85;2.5;6;8.63;46.13;1.25;221;216;4;1;CN;0
ddr;Team FanTuan;2;6;1.62;2.38;7.63;10;36.88;2.38;218;254;5;1;CN;0
akihisa yoshii;Team Freedom Dota 2;2;6;2.6;4.63;3.75;5.13;170.13;13.75;454;452;1;0;AM;0
Freedom.SunBhie;Team Freedom Dota 2;2;6;2.22;3.63;4.5;6.38;151.88;6.25;426;395;2;0;AM;0
Shazam.Jason;Team Freedom Dota 2;2;6;2.15;1.63;3.38;5.63;29;3.13;233;208;3;0;AM;0
Freedom.Jubei;Team Freedom Dota 2;2;6;2.02;2.88;5.25;7.75;29.13;1.38;254;235;4;0;AM;0
Freedom.ixmike88;Team Freedom Dota 2;2;6;1.62;2.5;4.25;4.38;95.63;1.13;327;320;5;0;AM;0
Pajkatt;Mamas-Boys;1;5;3.82;7.67;4.67;10.17;238.33;10.33;506;494;1;0;EU;0
meow;Mamas-Boys;1;5;3.18;7.33;6.33;12.83;226.67;4;481;509;2;0;EU;0
ESC.YapzOr;Mamas-Boys;1;5;3.11;4.83;6;13.83;60;1.67;300;315;3;0;EU;0
KP.@SexyBamboe;Mamas-Boys;1;5;1.93;4;7.33;10.17;135.33;6.33;393;410;4;0;EU;0
DC.Saksa;Mamas-Boys;1;5;1.86;2.83;8.33;12.67;47;2.5;265;285;5;0;EU;0
Na`Vi.GeneRaL;Elements Pro Gaming;1;7;3.18;5.25;4.75;9.88;229.25;16.63;444;450;1;0;EU;0
TSpirit.Illidan Stormrage 46sf;Elements Pro Gaming;1;7;2.25;5.5;6.88;10;270.13;18.88;464;462;2;0;EU;0
sQreen;Elements Pro Gaming;1;7;1.65;3.5;6.88;7.88;45.88;2;251;265;3;0;EU;0
Empire.KingR?!;Elements Pro Gaming;1;7;1.58;3.75;6.63;6.75;29.75;2.13;231;250;4;0;EU;0
VP.yoky;Elements Pro Gaming;1;7;1.34;3.13;7.75;7.25;124.88;4;309;322;5;0;EU;0
CDEC.Super;Vici Gaming;1;5;2.52;2.83;3.83;6.83;191.67;11.33;454;444;1;2;CN;15
VG.BurNIng;Vici Gaming;1;5;1.96;3.83;3.83;3.67;286;10;538;531;2;2;CN;15
EHOME.iceiceice;Vici Gaming;1;5;1.93;3;4.83;6.33;131.83;4.83;376;399;3;2;CN;15
VG.??.Fy;Vici Gaming;1;5;1.5;1.5;5.33;6.5;68.67;2.5;274;293;4;2;CN;15
EHOME.Fenrir;Vici Gaming;1;5;1.06;1.33;5.67;4.67;40.5;1;215;212;5;2;CN;15
NoT.Benjaz;Not Today !;1;7;2.46;3.88;3.25;4.13;243.25;10.25;513;501;1;1;AM;0
NoT.Leostyle;Not Today !;1;7;2.43;3.88;3.5;4.63;219.25;9.13;468;464;2;1;AM;0
kaka;Not Today !;1;7;2.19;1.75;3.38;5.63;30.25;2.75;211;221;3;1;AM;0
LDS;Not Today !;1;7;2.14;2.25;3.5;5.25;103.13;7;308;328;4;1;AM;0
@FanofSoyeon ?;Not Today !;1;7;1.4;1;6;7.38;31.88;1.38;214;235;5;1;AM;0
Zyzzy;Leviathan';1;6;2.21;4.29;4;4.57;247.29;7.43;448;431;1;1;AM;0
Shiibbyy;Leviathan';1;6;1.78;4.43;5.29;5;225.71;9;450;459;2;1;AM;0
FlyingZebra;Leviathan';1;6;1.77;1.57;4.43;6.29;51.71;1.86;239;227;3;1;AM;0
Newsham;Leviathan';1;6;1.52;3.14;6.57;6.86;68.29;2.86;265;265;4;1;AM;0
LvT.Jenkins;Leviathan';1;6;1.3;1.71;6.29;6.43;122;2.86;305;287;5;1;AM;0
Newbee.Y.Sccc;Newbee.Young;0;8;2.36;6.63;7;9.88;381.5;13.75;486;410;1;1;CN;0
woyaoying;Newbee.Young;0;8;2.5;4.88;5.5;8.88;459.88;23.25;537;435;2;1;CN;0
-_-!;Newbee.Young;0;8;1.79;2.38;5.88;8.13;187.25;7.5;313;331;3;1;CN;0
Newbee.Y.Mrrr;Newbee.Young;0;8;2;3;6.75;10.5;96.5;2.13;252;277;4;1;CN;0
O.O;Newbee.Young;0;8;2.14;4.13;6.25;9.25;63.88;4.25;262;276;5;1;CN;0
goddam;HellRaisers`;0;6;1.86;4;7;9;55.17;1.17;242;240;1;1;EU;0
meow;HellRaisers`;0;6;2.74;6.33;5.67;9.17;220.67;11;424;423;2;1;EU;0
who knows;HellRaisers`;0;6;1.98;2.67;7.17;11.5;36;2.67;239;255;3;1;EU;0
Oloy;HellRaisers`;0;6;2.81;4.33;6;12.5;161.33;10.17;364;377;4;1;EU;0
Shachlo;HellRaisers`;0;6;2.08;5.17;6.5;8.33;239.83;9.83;434;372;5;1;EU;0
Kim0;Execration;0;8;1.01;2.5;9.25;6.88;63.38;1.13;257;257;1;1;SEA;0
Aladdin;Execration;0;8;1.42;4.13;6.88;5.63;165.38;8.5;378;401;2;1;SEA;0
...;Execration;0;8;1;3;8.63;5.63;206.38;10.13;416;419;3;1;SEA;0
jerbax;Execration;0;8;1.1;3;7.38;5.13;47.38;2;264;254;4;1;SEA;0
POSITIVE MENSTRUAL ATTIDUDE;Execration;0;8;0.97;2.75;8;5;81.25;1.75;289;282;5;1;SEA;0
Ptt;Extremist Dota 2;0;6;1.63;3.83;6.83;7.33;214.67;11.5;447;420;1;0;SEA;0
H.God;Extremist Dota 2;0;6;1.38;2.67;6.5;6.33;92.17;7.33;299;337;2;0;SEA;0
What is dead may never die;Extremist Dota 2;0;6;1.23;0.83;6.67;7.33;20.83;1.17;192;207;3;0;SEA;0
Ciky;Extremist Dota 2;0;6;1.94;6.17;5.67;4.83;179.33;12.33;451;511;4;0;SEA;0
Dog;Extremist Dota 2;0;6;2;2;5;8;21.5;0.33;221;255;5;0;SEA;0
