Player;Team;Wins;Losses;KDA;Kills;Death;Assists;LH;DN;GPM;XPM;Position;Inv_Status;Region;Tournament_Result;Changed Teams;Total_Games;New_Team
XctN.Abed;Execration;15;13;3,48;7,29;4,18;7,25;294,14;5,89;587;555;2;1;SEA;0;0;28;Execration
Mski.RR;Execration;15;13;2,88;2,5;4,64;10,89;146,46;1,36;362;374;3;1;SEA;0;1;28;Mineski.GGNetwork
XctN.Kim0;Execration;15;13;2,22;2,04;5,96;11,18;52,96;1,82;270;267;4;1;SEA;0;0;28;Execration
XctN.TIMS;Execration;15;13;2,38;2,21;5,29;10,36;35,89;1,18;260;294;5;1;SEA;0;1;28;Team-Rave
F5.Illidan Stormrage;Fantastic.Five';7;9;4,56;6,94;3,44;8,75;362,94;12,69;602;517;1;0;EU;0;0;16;Fantastic.Five'
F5.Bzz;Fantastic.Five';7;9;3,21;5,31;4,69;9,75;228,44;5,88;483;451;2;0;EU;0;0;16;Fantastic.Five'
VP.9pasha;Fantastic.Five';7;9;2,46;4,31;5,56;9,38;187,94;1,06;407;431;3;0;EU;0;1;16;Virtus.pro
F5.rmN-;Fantastic.Five';7;9;3,03;2,75;4,69;11,44;63,63;1,56;264;284;4;0;EU;0;0;16;Fantastic.Five'
F5.yol;Fantastic.Five';7;9;1,81;1,44;6,75;10,81;35,19;0,56;233;229;5;0;EU;0;0;16;Fantastic.Five'
FlipSid3.Sedoy;FlipSid3 Tactics;2;7;3,16;6,67;4,22;6,67;295,56;9,44;536;449;1;1;EU;0;0;9;FlipSid3 Tactics
FlipSid3.tmw;FlipSid3 Tactics;2;7;1,94;4;5,78;7,22;240;15,44;465;457;2;1;EU;0;0;9;FlipSid3 Tactics
FlipSid3.Shachlo;FlipSid3 Tactics;2;7;1,88;2,33;5,67;8,33;135,11;1,67;371;410;3;1;EU;0;0;9;FlipSid3 Tactics
FlipSid3.MeTTpuM;FlipSid3 Tactics;2;7;1,44;2;6,78;7,78;37,56;3;228;234;4;1;EU;0;1;9;None
FlipSid3.VANSKOR;FlipSid3 Tactics;2;7;1,33;1;7,67;9,22;31;0,22;206;214;5;1;EU;0;0;9;FlipSid3 Tactics
Fnatic.MuShi-;Fnatic;27;15;4;5,64;3,64;8,93;300,07;15,45;585;521;1;1;SEA;4;0;42;Fnatic
Secret.MidOne;Fnatic;27;15;4,29;7,67;3,74;8,36;288,69;13,9;559;521;2;1;SEA;4;1;42;Team Secret
Fnatic.Ohaiyo`;Fnatic;27;15;3,6;3,19;4,1;11,57;152,93;3,02;396;412;3;1;SEA;4;0;42;Fnatic
XctN.Dj;Fnatic;27;15;3,25;3,17;4,48;11,38;94,93;1,9;329;335;4;1;SEA;4;1;42;Execration
Fnatic.343;Fnatic;27;15;2,91;2,48;4,9;11,81;34,19;0,86;266;269;5;1;SEA;4;1;42;None
